km;largura;altura;patologia;xi;xf;yi;yf
160181-01_NORTE_P1_png.rf.80e819849bb2a93fdfeeb42adcb129cf.jpg;920;640;FI;7;19;19;85
160219-03_NORTE_P1_png.rf.43095083e5ee64343ec65e1e39bc1e63.jpg;920;640;FI;13;0;93;636
160226-95_NORTE_P1_png.rf.69053d4b7aefe6ec67854cb468da7715.jpg;920;640;TLC-FC1;33;3;52;182
160226-95_NORTE_P1_png.rf.69053d4b7aefe6ec67854cb468da7715.jpg;920;640;TLC-FC1;55;2;70;149
160266-31_NORTE_P1_png.rf.26b0ef2493d3b6f747abf011a3f465c1.jpg;920;640;R;853;3;920;505
160301-57_NORTE_P1_png.rf.4afcce44b8a76d41605a316a3842bfc7.jpg;920;640;TLL-FC2;19;78;41;640
160340-81_NORTE_P1_png.rf.ef9ee974dff2ccc9b11d22eebcf0c7a3.jpg;920;640;TLC-FC1;5;68;35;239
160340-81_NORTE_P1_png.rf.ef9ee974dff2ccc9b11d22eebcf0c7a3.jpg;920;640;TLC-FC1;49;34;68;130
160344-61_NORTE_P1_png.rf.948e4124aed282dc4edb9c54c671d5db.jpg;920;640;TLC-FC1;829;0;853;156
160381-48_NORTE_P1_png.rf.da5b51cb7a3a922b3964df275deda661.jpg;920;640;FI;899;2;920;87
160418-71_NORTE_P1_png.rf.6dbb23ffc4fe64ce209809f6ca9bbc82.jpg;920;640;TLC-FC2;4;120;21;292
160418-71_NORTE_P1_png.rf.6dbb23ffc4fe64ce209809f6ca9bbc82.jpg;920;640;TLC-FC3;839;0;882;392
160458-04_NORTE_P1_png.rf.43bd3f3d906909583301b54f99ef6831.jpg;920;640;R;833;82;899;572
160458-04_NORTE_P1_png.rf.43bd3f3d906909583301b54f99ef6831.jpg;920;640;TLL-FC1;851;18;904;409
160505-36_NORTE_P1_png.rf.951a96027d2ba194b7892d8febe0b2f1.jpg;920;640;TLL-FC2;808;0;920;487
160538-73_NORTE_P1_png.rf.1c99a8f4671110dd0d28a838819d52c9.jpg;920;640;TLL-FC2;776;50;860;640
160545-74_NORTE_P1_png.rf.0f8cdf04e2a3805f49dbfc705c12b742.jpg;920;640;TLC-FC1;731;0;750;174
160545-74_NORTE_P1_png.rf.0f8cdf04e2a3805f49dbfc705c12b742.jpg;920;640;TLL-FC2;801;178;815;640
160660-64_NORTE_P1_png.rf.57401f5f56686944ddf36b9927c8e7a3.jpg;920;640;TLL-FC2;850;0;866;558
160664-45_NORTE_P1_png.rf.1460e95f1c86157948d4d877822307c7.jpg;920;640;TLL-FC2;871;0;920;474
160664-45_NORTE_P1_png.rf.1460e95f1c86157948d4d877822307c7.jpg;920;640;TLC-FC2;0;288;10;404
160703-43_NORTE_P1_png.rf.dcf75231d1265cabf701ec18e7518de2.jpg;920;640;TLL-FC2;846;0;919;467
160703-43_NORTE_P1_png.rf.dcf75231d1265cabf701ec18e7518de2.jpg;920;640;TLC-FC2;0;0;24;114
160746-6_NORTE_P1_png.rf.dd22769547b4e92f8dc96fd4d54ebd53.jpg;920;640;TLL-FC2;9;1;27;424
160746-6_NORTE_P1_png.rf.dd22769547b4e92f8dc96fd4d54ebd53.jpg;920;640;TLL-FC2;865;302;886;635
160746-6_NORTE_P1_png.rf.dd22769547b4e92f8dc96fd4d54ebd53.jpg;920;640;TLL-FC2;842;5;871;286
160785-33_NORTE_P1_png.rf.d78e528e8c7acc395f95835f1e78b426.jpg;920;640;TLL-FC2;883;0;905;323
160859-98_NORTE_P1_png.rf.18c25dae074c84d33890c50602f04bc5.jpg;920;640;TLL-FC2;89;0;98;640
160859-98_NORTE_P1_png.rf.18c25dae074c84d33890c50602f04bc5.jpg;920;640;TLC-FC2;127;115;138;190
160859-98_NORTE_P1_png.rf.18c25dae074c84d33890c50602f04bc5.jpg;920;640;TLC-FC2;152;85;164;122
160859-98_NORTE_P1_png.rf.18c25dae074c84d33890c50602f04bc5.jpg;920;640;TLC-FC2;151;4;161;33
160859-98_NORTE_P1_png.rf.18c25dae074c84d33890c50602f04bc5.jpg;920;640;TLC-FC2;168;39;178;78
160859-98_NORTE_P1_png.rf.18c25dae074c84d33890c50602f04bc5.jpg;920;640;FI;102;365;119;439
160859-98_NORTE_P1_png.rf.18c25dae074c84d33890c50602f04bc5.jpg;920;640;FI;131;367;152;439
160859-98_NORTE_P1_png.rf.18c25dae074c84d33890c50602f04bc5.jpg;920;640;FI;113;464;139;559
160859-98_NORTE_P1_png.rf.18c25dae074c84d33890c50602f04bc5.jpg;920;640;FI;159;368;185;468
160863-4_NORTE_P1_png.rf.62bf7ae373ebccfeec3bd307a6105a04.jpg;920;640;FI;85;221;104;640
160863-4_NORTE_P1_png.rf.62bf7ae373ebccfeec3bd307a6105a04.jpg;920;640;TLC-FC2;150;493;164;613
160863-4_NORTE_P1_png.rf.62bf7ae373ebccfeec3bd307a6105a04.jpg;920;640;TLC-FC2;154;202;170;271
160863-4_NORTE_P1_png.rf.62bf7ae373ebccfeec3bd307a6105a04.jpg;920;640;TLC-FC2;148;322;163;400
160863-4_NORTE_P1_png.rf.62bf7ae373ebccfeec3bd307a6105a04.jpg;920;640;TLC-FC2;223;291;235;539
160904-39_NORTE_P1_png.rf.1d56db97abad17560c0c181de7885b89.jpg;920;640;TLL-FC2;232;62;244;640
160904-39_NORTE_P1_png.rf.1d56db97abad17560c0c181de7885b89.jpg;920;640;FI;165;170;186;238
160904-39_NORTE_P1_png.rf.1d56db97abad17560c0c181de7885b89.jpg;920;640;FI;188;103;204;174
160941-14_NORTE_P1_png.rf.5cdb9ea16df8d5d4f1a3b5e547a2877f.jpg;920;640;TLL-FC2;130;0;154;640
160941-14_NORTE_P1_png.rf.5cdb9ea16df8d5d4f1a3b5e547a2877f.jpg;920;640;TLC-FC2;85;411;103;487
160941-14_NORTE_P1_png.rf.5cdb9ea16df8d5d4f1a3b5e547a2877f.jpg;920;640;TLC-FC2;71;503;88;640
160944-47_NORTE_P1_png.rf.717f02a9e7b9157c36a001ac04407515.jpg;920;640;TLL-FC2;125;0;156;640
160980-73_NORTE_P1_png.rf.f506b6e32c14176f27db16eb59d58043.jpg;920;640;TLC-FC2;22;58;42;244
160980-73_NORTE_P1_png.rf.f506b6e32c14176f27db16eb59d58043.jpg;920;640;TLC-FC2;13;289;35;413
160980-73_NORTE_P1_png.rf.f506b6e32c14176f27db16eb59d58043.jpg;920;640;TLC-FC2;51;272;76;373
160980-73_NORTE_P1_png.rf.f506b6e32c14176f27db16eb59d58043.jpg;920;640;TLC-FC2;35;492;52;562
160983-39_NORTE_P1_png.rf.ee9b72997a88e2ba6316147af24ff333.jpg;920;640;TLC-FC2;55;261;70;401
160983-39_NORTE_P1_png.rf.ee9b72997a88e2ba6316147af24ff333.jpg;920;640;TLC-FC2;34;82;59;201
160983-39_NORTE_P1_png.rf.ee9b72997a88e2ba6316147af24ff333.jpg;920;640;TLC-FC2;9;5;19;71
160983-39_NORTE_P1_png.rf.ee9b72997a88e2ba6316147af24ff333.jpg;920;640;TLC-FC2;14;587;23;640
161025-79_NORTE_P1_png.rf.9af582816f10e5fe46708e8f713b73a0.jpg;920;640;TLC-FC2;124;238;136;319
161025-79_NORTE_P1_png.rf.9af582816f10e5fe46708e8f713b73a0.jpg;920;640;TLC-FC2;161;86;176;155
161100-66_NORTE_P1_png.rf.f9febeaa510fee4cddc0c8d8edc7c0f6.jpg;920;640;TLC-FC1;889;0;920;152
161100-66_NORTE_P1_png.rf.f9febeaa510fee4cddc0c8d8edc7c0f6.jpg;920;640;TLC-FC1;881;204;920;324
161104-78_NORTE_P1_png.rf.d9573d5768474b9ef3bc006eeb0e62a2.jpg;920;640;TLC-FC2;877;7;920;207
161379-62_NORTE_P1_png.rf.b7f67a8d8efd593eaceb6aee3250107b.jpg;920;640;TLC-FC1;302;59;317;129
161379-62_NORTE_P1_png.rf.b7f67a8d8efd593eaceb6aee3250107b.jpg;920;640;TLC-FC1;308;152;323;219
161383-73_NORTE_P1_png.rf.7ca1194134dd587b6c5de99c453da994.jpg;920;640;TLC-FC2;896;0;920;211
161383-73_NORTE_P1_png.rf.7ca1194134dd587b6c5de99c453da994.jpg;920;640;R;897;221;920;430
161419-06_NORTE_P1_png.rf.928c98af219eb3dd0a715295b1b449c3.jpg;920;640;R;897;2;920;251
161425-53_NORTE_P1_png.rf.14969768d102d5c4c9f1f1e58e59e125.jpg;920;640;TLC-FC2;887;96;902;224
161463-58_NORTE_P1_png.rf.98bb3b8397fe323127b8eb8c708b6edc.jpg;920;640;FI;40;20;299;320
161463-58_NORTE_P1_png.rf.98bb3b8397fe323127b8eb8c708b6edc.jpg;920;640;FI;103;460;294;640
161506-35_NORTE_P1_png.rf.33e4dfe496071a0502a1bb5942a6af89.jpg;920;640;TLL-FC2;0;0;53;620
161539-4_NORTE_P1_png.rf.244c32a441af023d5e77582733344014.jpg;920;640;D;185;313;223;383
161539-4_NORTE_P1_png.rf.244c32a441af023d5e77582733344014.jpg;920;640;D;179;399;219;467
161539-4_NORTE_P1_png.rf.244c32a441af023d5e77582733344014.jpg;920;640;D;146;151;156;231
161539-4_NORTE_P1_png.rf.244c32a441af023d5e77582733344014.jpg;920;640;D;168;180;182;243
161545-94_NORTE_P1_png.rf.65f6ab12e31fff23a8296a0914d10da8.jpg;920;640;TLC-FC2;231;88;252;170
161545-94_NORTE_P1_png.rf.65f6ab12e31fff23a8296a0914d10da8.jpg;920;640;TLC-FC2;232;176;244;257
161545-94_NORTE_P1_png.rf.65f6ab12e31fff23a8296a0914d10da8.jpg;920;640;TLC-FC2;29;146;48;206
161545-94_NORTE_P1_png.rf.65f6ab12e31fff23a8296a0914d10da8.jpg;920;640;TLC-FC2;14;410;44;620
161545-94_NORTE_P1_png.rf.65f6ab12e31fff23a8296a0914d10da8.jpg;920;640;TLC-FC1;25;211;55;394
161545-94_NORTE_P1_png.rf.65f6ab12e31fff23a8296a0914d10da8.jpg;920;640;TLC-FC1;33;7;52;117
161586-01_NORTE_P1_png.rf.358e5a76268d5f11aa12637451cf0c8b.jpg;920;640;J;27;6;219;351
161660-58_NORTE_P1_png.rf.6096097f55bb32546cffabf8848828bb.jpg;920;640;TLL-FC2;14;496;515;517
161660-58_NORTE_P1_png.rf.6096097f55bb32546cffabf8848828bb.jpg;920;640;D;831;444;902;514
161660-58_NORTE_P1_png.rf.6096097f55bb32546cffabf8848828bb.jpg;920;640;D;614;459;725;520
161700-09_NORTE_P1_png.rf.ebf2095972e15bd18167de445e09e0ac.jpg;920;640;D;8;384;404;534
161703-6_NORTE_P1_png.rf.caac5812a585d3016e2b6fce05805662.jpg;920;640;D;99;266;135;347
161703-6_NORTE_P1_png.rf.caac5812a585d3016e2b6fce05805662.jpg;920;640;D;896;102;919;191
161746-66_NORTE_P1_png.rf.83f476a0091ae4c946d0d15289b78651.jpg;920;640;J;47;106;244;640
162023-64_NORTE_P1_png.rf.c5b173ebf6bffdc62f41ec1b75a73e74.jpg;920;640;FI;640;161;661;325
162099-69_NORTE_P1_png.rf.3f00d57f1df8660205e8bf8827e6dcb4.jpg;920;640;TLC-FC1;895;0;920;150
162219-45_NORTE_P1_png.rf.3012917b6d062ced78e0e77beaa89e32.jpg;920;640;TLC-FC2;83;0;97;307
162223-34_NORTE_P1_png.rf.df45def8b840f8a8fec0a9e870916572.jpg;920;640;TLC-FC1;195;532;212;623
162259-46_NORTE_P1_png.rf.25ca1ac4053cd9091c891197ba9f6d01.jpg;920;640;D;0;175;306;640
162259-46_NORTE_P1_png.rf.25ca1ac4053cd9091c891197ba9f6d01.jpg;920;640;TLC-FC2;243;75;263;146
162259-46_NORTE_P1_png.rf.25ca1ac4053cd9091c891197ba9f6d01.jpg;920;640;TLC-FC3;522;335;560;433
162426-2_NORTE_P1_png.rf.d593957bbeb167e7f995aa88a9235f30.jpg;920;640;TLC-FC2;580;236;603;319
162426-2_NORTE_P1_png.rf.d593957bbeb167e7f995aa88a9235f30.jpg;920;640;TLC-FC2;600;338;615;401
162426-2_NORTE_P1_png.rf.d593957bbeb167e7f995aa88a9235f30.jpg;920;640;TLC-FC2;162;355;184;461
162426-2_NORTE_P1_png.rf.d593957bbeb167e7f995aa88a9235f30.jpg;920;640;TLC-FC2;52;46;63;104
162426-2_NORTE_P1_png.rf.d593957bbeb167e7f995aa88a9235f30.jpg;920;640;TLC-FC2;59;128;74;183
162460-61_NORTE_P1_png.rf.c5e5575625f9d7d58448c87524c0d4e2.jpg;920;640;J;11;130;179;626
162460-61_NORTE_P1_png.rf.c5e5575625f9d7d58448c87524c0d4e2.jpg;920;640;TLC-FC1;83;2;113;87
162498-43_NORTE_P1_png.rf.d0758741c92725c0f97b909dfe08ef6c.jpg;920;640;TLL-FC2;48;10;76;634
162498-43_NORTE_P1_png.rf.d0758741c92725c0f97b909dfe08ef6c.jpg;920;640;TLL-FC2;14;95;42;412
162507-24_NORTE_P1_png.rf.2c28ad9bf3520d07c959113be8049125.jpg;920;640;TLL-FC2;50;8;80;624
162507-24_NORTE_P1_png.rf.2c28ad9bf3520d07c959113be8049125.jpg;920;640;TLL-FC1;130;136;144;387
162578-88_NORTE_P1_png.rf.885cc83e01364b745f7906820c103e85.jpg;920;640;J;59;252;251;629
162624-92_NORTE_P1_png.rf.67b7ebbc139adefe5b8e80f95950883b.jpg;920;640;TLL-FC1;11;108;21;344
162666-55_NORTE_P1_png.rf.7d844cc01466f5aab57979a8cbb4489d.jpg;920;640;TLL-FC1;102;42;121;342
162907-49_NORTE_P1_png.rf.47819f178ab84fc9acae27791232c1dc.jpg;920;640;TLC-FC2;0;461;45;619
162907-49_NORTE_P1_png.rf.47819f178ab84fc9acae27791232c1dc.jpg;920;640;TLC-FC2;887;0;905;142
162907-49_NORTE_P1_png.rf.47819f178ab84fc9acae27791232c1dc.jpg;920;640;TLC-FC2;65;10;85;144
162940-51_NORTE_P1_png.rf.518cd13eecf50772aeb747d6c5aa4a0c.jpg;920;640;TLC-FC1;135;433;162;582
162944-25_NORTE_P1_png.rf.4ecf16c98ba28225cae4b953e03b33ee.jpg;920;640;FI;76;301;151;537
162944-25_NORTE_P1_png.rf.4ecf16c98ba28225cae4b953e03b33ee.jpg;920;640;FI;79;203;112;308
162979-04_NORTE_P1_png.rf.0439c03d0ead9c112eb329029b0e207e.jpg;920;640;TLC-FC1;101;80;157;213
162979-04_NORTE_P1_png.rf.0439c03d0ead9c112eb329029b0e207e.jpg;920;640;TLC-FC1;109;389;144;463
162979-04_NORTE_P1_png.rf.0439c03d0ead9c112eb329029b0e207e.jpg;920;640;TLC-FC1;99;470;137;636
162979-04_NORTE_P1_png.rf.0439c03d0ead9c112eb329029b0e207e.jpg;920;640;TLC-FC1;99;214;139;300
162983-05_NORTE_P1_png.rf.43a09a6a12f4cdc85762fac5cce6a483.jpg;920;640;TLC-FC1;83;298;133;576
163024-18_NORTE_P1_png.rf.9d1a13a80571b96a9b2421a09f074acf.jpg;920;640;TLC-FC2;144;113;158;183
163024-18_NORTE_P1_png.rf.9d1a13a80571b96a9b2421a09f074acf.jpg;920;640;TLC-FC2;138;201;166;308
163024-18_NORTE_P1_png.rf.9d1a13a80571b96a9b2421a09f074acf.jpg;920;640;TLC-FC2;125;444;138;491
163024-18_NORTE_P1_png.rf.9d1a13a80571b96a9b2421a09f074acf.jpg;920;640;TLC-FC2;138;512;153;640
163024-18_NORTE_P1_png.rf.9d1a13a80571b96a9b2421a09f074acf.jpg;920;640;TLC-FC2;146;6;154;67
163101-25_NORTE_P1_png.rf.b85f13c3ccdec99ed99253739341750f.jpg;920;640;TLL-FC2;139;1;169;634
163105-04_NORTE_P1_png.rf.43afcc7b50ddc55026487af78b470039.jpg;920;640;TLL-FC2;164;208;212;624
163143-16_NORTE_P1_png.rf.92d4accc293f00ee662681614da3ff43.jpg;920;640;FI;264;497;304;610
163143-16_NORTE_P1_png.rf.92d4accc293f00ee662681614da3ff43.jpg;920;640;FI;260;103;302;173
163264-67_NORTE_P1_png.rf.322a856ac4fe68381f165172717d21d0.jpg;920;640;TLC-FC2;14;63;25;214
163264-67_NORTE_P1_png.rf.322a856ac4fe68381f165172717d21d0.jpg;920;640;TLC-FC2;3;355;18;494
163264-67_NORTE_P1_png.rf.322a856ac4fe68381f165172717d21d0.jpg;920;640;D;33;1;301;640
163658-19_NORTE_P1_png.rf.c8c885e0253896c2815b1e424ee9cb53.jpg;920;640;TLL-FC1;881;20;896;311
163779-51_NORTE_P1_png.rf.053fadb4a70f9ba6523e5dde373f713e.jpg;920;640;TLL-FC2;802;0;838;259
163783-03_NORTE_P1_png.rf.915a648fa0f58550715e31d542fdd65a.jpg;920;640;TLL-FC2;807;0;845;285
163820-43_NORTE_P1_png.rf.801b4ad5bf98a3d29dfd2cec1c91b0b6.jpg;920;640;TLL-FC3;881;0;907;402
163823-93_NORTE_P1_png.rf.e0fe6eb73a97c0bed5efe28848b952ff.jpg;920;640;TLC-FC1;895;4;918;137
163858-51_NORTE_P1_png.rf.918c270364e6c735db5625060e691f57.jpg;920;640;TLL-FC2;81;0;118;633
163858-51_NORTE_P1_png.rf.918c270364e6c735db5625060e691f57.jpg;920;640;FI;30;34;79;450
163865-88_NORTE_P1_png.rf.f29e5811dda7d0d12f439a7a1e91c48c.jpg;920;640;TLL-FC2;98;0;125;640
163865-88_NORTE_P1_png.rf.f29e5811dda7d0d12f439a7a1e91c48c.jpg;920;640;TLC-FC2;55;510;85;640
163865-88_NORTE_P1_png.rf.f29e5811dda7d0d12f439a7a1e91c48c.jpg;920;640;TLC-FC2;75;1;91;95
163865-88_NORTE_P1_png.rf.f29e5811dda7d0d12f439a7a1e91c48c.jpg;920;640;TLC-FC2;82;331;96;401
163898-95_NORTE_P1_png.rf.09c95ad954503554acd46902a3a006c9.jpg;920;640;TLL-FC2;133;262;147;640
163898-95_NORTE_P1_png.rf.09c95ad954503554acd46902a3a006c9.jpg;920;640;FI;161;268;233;640
163898-95_NORTE_P1_png.rf.09c95ad954503554acd46902a3a006c9.jpg;920;640;FI;88;5;205;246
163898-95_NORTE_P1_png.rf.09c95ad954503554acd46902a3a006c9.jpg;920;640;FI;21;270;118;634
163906-57_NORTE_P1_png.rf.81c4c40e815b6a9bde37e72ba8881ff6.jpg;920;640;TLC-FC2;89;89;111;176
163906-57_NORTE_P1_png.rf.81c4c40e815b6a9bde37e72ba8881ff6.jpg;920;640;TLC-FC2;30;505;47;577
163906-57_NORTE_P1_png.rf.81c4c40e815b6a9bde37e72ba8881ff6.jpg;920;640;TLC-FC2;80;409;92;463
163940-56_NORTE_P1_png.rf.31489449b238d1b288327f535ffba64b.jpg;920;640;TLL-FC2;54;46;71;559
163944-41_NORTE_P1_png.rf.a763af79a93c77ba87c6f9414be253bd.jpg;920;640;TLL-FC2;105;1;133;640
163979-75_NORTE_P1_png.rf.aadad61ef06f4ed2ccd1fb114b2a6534.jpg;920;640;TLL-FC2;54;388;72;636
163979-75_NORTE_P1_png.rf.aadad61ef06f4ed2ccd1fb114b2a6534.jpg;920;640;TLL-FC2;53;151;78;380
163979-75_NORTE_P1_png.rf.aadad61ef06f4ed2ccd1fb114b2a6534.jpg;920;640;FI;54;65;70;126
163983-71_NORTE_P1_png.rf.0c89cee81e33e4bb614142a4a0c14dc0.jpg;920;640;TLL-FC2;56;0;71;446
163983-71_NORTE_P1_png.rf.0c89cee81e33e4bb614142a4a0c14dc0.jpg;920;640;TLC-FC2;38;433;59;640
164021-22_NORTE_P1_png.rf.9fe5111f6b0288557fc9e2bbdb72d92e.jpg;920;640;FI;189;232;212;593
164024-72_NORTE_P1_png.rf.69b2456aa6135cdb9175566ddef74e04.jpg;920;640;FI;173;29;209;209
164060-4_NORTE_P1_png.rf.9b5cfb0e22f451f48256607402abcec5.jpg;920;640;J;140;0;242;637
164064-37_NORTE_P1_png.rf.7078a725b7210fb352bd4118b0b98ebc.jpg;920;640;TLC-FC2;165;447;190;557
164064-37_NORTE_P1_png.rf.7078a725b7210fb352bd4118b0b98ebc.jpg;920;640;TLC-FC2;172;287;193;420
164064-37_NORTE_P1_png.rf.7078a725b7210fb352bd4118b0b98ebc.jpg;920;640;TLC-FC2;175;565;192;640
164064-37_NORTE_P1_png.rf.7078a725b7210fb352bd4118b0b98ebc.jpg;920;640;TLC-FC2;164;6;179;193
164064-37_NORTE_P1_png.rf.7078a725b7210fb352bd4118b0b98ebc.jpg;920;640;TLC-FC2;186;57;209;235
164064-37_NORTE_P1_png.rf.7078a725b7210fb352bd4118b0b98ebc.jpg;920;640;TLC-FC2;226;0;244;70
164099-39_NORTE_P1_png.rf.0c5ca7acfdb8152f4386f0b6a879592c.jpg;920;640;TLC-FC1;203;29;225;208
164099-39_NORTE_P1_png.rf.0c5ca7acfdb8152f4386f0b6a879592c.jpg;920;640;TLC-FC1;165;4;192;88
164099-39_NORTE_P1_png.rf.0c5ca7acfdb8152f4386f0b6a879592c.jpg;920;640;FI;172;461;201;596
164099-39_NORTE_P1_png.rf.0c5ca7acfdb8152f4386f0b6a879592c.jpg;920;640;FI;91;86;114;192
164102-75_NORTE_P1_png.rf.3110a4f1a34d5891dfcf85998aefcf4d.jpg;920;640;TLC-FC2;220;526;245;632
164102-75_NORTE_P1_png.rf.3110a4f1a34d5891dfcf85998aefcf4d.jpg;920;640;TLC-FC2;202;398;231;496
164102-75_NORTE_P1_png.rf.3110a4f1a34d5891dfcf85998aefcf4d.jpg;920;640;TLC-FC2;209;298;232;392
164102-75_NORTE_P1_png.rf.3110a4f1a34d5891dfcf85998aefcf4d.jpg;920;640;TLC-FC2;217;224;234;280
164102-75_NORTE_P1_png.rf.3110a4f1a34d5891dfcf85998aefcf4d.jpg;920;640;TLC-FC2;216;6;235;111
164102-75_NORTE_P1_png.rf.3110a4f1a34d5891dfcf85998aefcf4d.jpg;920;640;TLC-FC2;221;130;245;216
164141-69_NORTE_P1_png.rf.3c2ac399c90aec2cce75debdac555661.jpg;920;640;TLC-FC2;16;132;46;317
164218-07_NORTE_P1_png.rf.2f018583c2a13e0ddf64b970213dae39.jpg;920;640;TLC-FC2;147;0;155;57
164218-07_NORTE_P1_png.rf.2f018583c2a13e0ddf64b970213dae39.jpg;920;640;TLC-FC2;107;0;121;53
164218-07_NORTE_P1_png.rf.2f018583c2a13e0ddf64b970213dae39.jpg;920;640;TLL-FC2;815;0;830;638
164258-04_NORTE_P1_png.rf.270b349c400eaa973aef06a0e15ad8b5.jpg;920;640;TLC-FC1;73;59;118;216
164299-47_NORTE_P1_png.rf.1e444845cacbe9d7062bc5c23ec71eb3.jpg;920;640;TLL-FC1;834;4;902;347
164304-39_NORTE_P1_png.rf.a0e7ef5cfd0642151c56fbe8fb6f6a59.jpg;920;640;TLL-FC2;856;0;873;640
164418-18_NORTE_P1_png.rf.6b3d98f1feafec8a6d657f315a31ccae.jpg;920;640;TLC-FC1;148;125;165;350
164418-18_NORTE_P1_png.rf.6b3d98f1feafec8a6d657f315a31ccae.jpg;920;640;TLC-FC1;240;206;268;384
164418-18_NORTE_P1_png.rf.6b3d98f1feafec8a6d657f315a31ccae.jpg;920;640;TLC-FC1;294;312;326;450
